Sidebar item,Item key,Name,Raw key,User value,Unit
Flexibility,Import and export of electricity,Interconnector 1,electricity_interconnector_1_import_availability,,%
Flexibility,Import and export of electricity,Interconnector 1,electricity_interconnector_1_marginal_costs,,€/MWh
Flexibility,Import and export of electricity,Interconnector 2,electricity_interconnector_2_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 2,electricity_interconnector_2_co2_emissions_future,,g/kWh
Flexibility,Import and export of electricity,Interconnector 2,electricity_interconnector_2_co2_emissions_present,,g/kWh
Flexibility,Import and export of electricity,Interconnector 2,electricity_interconnector_2_export_availability,,%
Flexibility,Import and export of electricity,Interconnector 2,electricity_interconnector_2_import_availability,,%
Flexibility,Import and export of electricity,Interconnector 2,electricity_interconnector_2_marginal_costs,,€/MWh
Flexibility,Import and export of electricity,Interconnector 3,electricity_interconnector_3_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 3,electricity_interconnector_3_co2_emissions_future,,g/kWh
Flexibility,Import and export of electricity,Interconnector 3,electricity_interconnector_3_co2_emissions_present,,g/kWh
Flexibility,Import and export of electricity,Interconnector 3,electricity_interconnector_3_export_availability,,%
Flexibility,Import and export of electricity,Interconnector 3,electricity_interconnector_3_import_availability,,%
Flexibility,Import and export of electricity,Interconnector 3,electricity_interconnector_3_marginal_costs,,€/MWh
Flexibility,Import and export of electricity,Interconnector 4,electricity_interconnector_4_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 4,electricity_interconnector_4_co2_emissions_future,,g/kWh
Flexibility,Import and export of electricity,Interconnector 4,electricity_interconnector_4_co2_emissions_present,,g/kWh
Flexibility,Import and export of electricity,Interconnector 4,electricity_interconnector_4_export_availability,,%
Flexibility,Import and export of electricity,Interconnector 4,electricity_interconnector_4_import_availability,,%
Flexibility,Import and export of electricity,Interconnector 4,electricity_interconnector_4_marginal_costs,,€/MWh
Flexibility,Import and export of electricity,Interconnector 5,electricity_interconnector_5_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 5,electricity_interconnector_5_co2_emissions_future,,g/kWh
Flexibility,Import and export of electricity,Interconnector 5,electricity_interconnector_5_co2_emissions_present,,g/kWh
Flexibility,Import and export of electricity,Interconnector 5,electricity_interconnector_5_export_availability,,%
Flexibility,Import and export of electricity,Interconnector 5,electricity_interconnector_5_import_availability,,%
Flexibility,Import and export of electricity,Interconnector 5,electricity_interconnector_5_marginal_costs,,€/MWh
Flexibility,Import and export of electricity,Interconnector 6,electricity_interconnector_6_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 6,electricity_interconnector_6_co2_emissions_future,,g/kWh
Flexibility,Import and export of electricity,Interconnector 6,electricity_interconnector_6_co2_emissions_present,,g/kWh
Flexibility,Import and export of electricity,Interconnector 6,electricity_interconnector_6_export_availability,,%
Flexibility,Import and export of electricity,Interconnector 6,electricity_interconnector_6_import_availability,,%
Flexibility,Import and export of electricity,Interconnector 6,electricity_interconnector_6_marginal_costs,,€/MWh
Flexibility,Import and export of electricity,Interconnector 7,electricity_interconnector_7_capacity,,MW
Flexibility,Import and export of electricity,Interconnector 7,electricity_interconnector_7_co2_emissions_future,,g/kWh
