Var no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,database_item,Extended_type
216,Demand,Transport,International transport,International aviation technology,Electricity,,bunkers_aviation_using_electricity_share,
217,Demand,Transport,International transport,International navigation technology,HFO,,bunkers_ship_using_heavy_fuel_oil_share,
218,Demand,Transport,International transport,International navigation technology,LNG,,bunkers_ship_using_lng_share,
219,Demand,Transport,International transport,International navigation technology,Hydrogen,,bunkers_ship_using_hydrogen_share,
220,Demand,Transport,International transport,International navigation technology,Ammonia,,bunkers_ship_using_ammonia_share,
221,Demand,Transport,International transport,International navigation technology,Electricity,,bunkers_ship_using_electricity_share,
222,Demand,Industry,Steel,Steel,,,industry_steel_production,
223,Demand,Industry,Steel,Production route,Blast furnace,,industry_steel_blastfurnace_bof_share,
224,Demand,Industry,Steel,Production route,DRI (network gas),,industry_steel_dri_network_gas_share,
225,Demand,Industry,Steel,Production route,DRI (hydrogen),,industry_steel_dri_hydrogen_share,
226,Demand,Industry,Steel,Production route,Cyclone furnace,,industry_steel_cyclonefurnace_bof_share,
227,Demand,Industry,Steel,Production route,Recycling / HBI,,industry_steel_scrap_hbi_eaf_share,
228,Demand,Industry,Aluminium,Aluminium,,,industry_aluminium_production,
229,Demand,Industry,Aluminium,Production route,Electrolysis,,industry_aluminium_electrolysis_current_electricity_share,
230,Demand,Industry,Aluminium,Production route,Electrolysis BAT,,industry_aluminium_electrolysis_bat_electricity_share,
231,Demand,Industry,Aluminium,Production route,Carbothermal reduction,,industry_aluminium_carbothermalreduction_electricity_share,
232,Demand,Industry,Aluminium,Production route,Smelt oven (recycling),,industry_aluminium_smeltoven_electricity_share,
233,Demand,Industry,Other metals,Other metals,,,industry_other_metals_production,
234,Demand,Industry,Other metals,Efficiency improvement (in total),Electricity,,industry_other_metals_process_electricity_efficiency,
235,Demand,Industry,Other metals,Efficiency improvement (in total),Heat,,industry_other_metals_process_heat_useable_heat_efficiency,
236,Demand,Industry,Refineries,Size,,,industry_useful_demand_for_chemical_refineries,
237,Demand,Industry,Refineries,Efficiency improvement (in total),Electricity,,industry_useful_demand_for_chemical_refineries_electricity_efficiency,
238,Demand,Industry,Refineries,Efficiency improvement (in total),Heat,,industry_useful_demand_for_chemical_refineries_useable_heat_efficiency,
239,Demand,Industry,Refineries,Heat production,Gas-fired heater,,industry_chemicals_refineries_burner_network_gas_share,
240,Demand,Industry,Refineries,Heat production,Oil-fired heater,,industry_chemicals_refineries_burner_crude_oil_share,
241,Demand,Industry,Refineries,Heat production,Biomass-fired heater,,industry_chemicals_refineries_burner_wood_pellets_share,
242,Demand,Industry,Refineries,Heat production,Coal-fired heater,,industry_chemicals_refineries_burner_coal_share,
243,Demand,Industry,Refineries,Heat production,Steam network,,,
244,Demand,Industry,Refineries,Heat production,H2-fired heater,,industry_chemicals_refineries_burner_hydrogen_share,
245,Demand,Industry,Refineries,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,capacity_of_industry_chemicals_refineries_flexibility_p2h_electricity,
246,Demand,Industry,Fertilisers,Size,,,industry_useful_demand_for_chemical_fertilizers,
247,Demand,Industry,Fertilisers,Ammonia production route,Local NH3 (steam methane reforming),,industry_chemicals_fertilizers_local_ammonia_local_hydrogen_share,
248,Demand,Industry,Fertilisers,Ammonia production route,Local NH3 (central hydrogen network),,industry_chemicals_fertilizers_local_ammonia_central_hydrogen_share,
249,Demand,Industry,Fertilisers,Ammonia production route,Central NH3 import,,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen_share,
250,Demand,Industry,Fertilisers,Efficiency improvement (in total),Electricity,,industry_useful_demand_for_chemical_fertilizers_electricity_efficiency,
251,Demand,Industry,Fertilisers,Efficiency improvement (in total),Heat,,industry_useful_demand_for_chemical_fertilizers_useable_heat_efficiency,
252,Demand,Industry,Fertilisers,Heat production,Gas-fired heater,,industry_chemicals_fertilizers_burner_network_gas_share,
253,Demand,Industry,Fertilisers,Heat production,Oil-fired heater,,industry_chemicals_fertilizers_burner_crude_oil_share,
254,Demand,Industry,Fertilisers,Heat production,Biomass-fired heater,,industry_chemicals_fertilizers_burner_wood_pellets_share,
255,Demand,Industry,Fertilisers,Heat production,Coal-fired heater,,industry_chemicals_fertilizers_burner_coal_share,
256,Demand,Industry,Fertilisers,Heat production,Steam network,,,
257,Demand,Industry,Fertilisers,Heat production,H2-fired heater,,industry_chemicals_fertilizers_burner_hydrogen_share,
258,Demand,Industry,Fertilisers,Hybrid heating,Power-to-heat boiler for gas and H2 heaters,,capacity_of_industry_chemicals_fertilizers_flexibility_p2h_electricity,
259,Demand,Industry,Chemicals,Size,,,industry_useful_demand_for_chemical_other,
260,Demand,Industry,Chemicals,Efficiency improvement (in total),Electricity,,industry_useful_demand_for_chemical_other_electricity_efficiency,
